file;time
10000;49.6693
50000;265.8316
100000;561.9420
500000;3171.7356
1000000;6711.4771
10000;46.6609
50000;262.2090
100000;557.0613
500000;3155.8785
1000000;6741.6656
10000;46.4203
50000;262.0111
100000;553.2107
500000;3170.2420
1000000;6742.4616
10000;47.0245
50000;263.1213
100000;555.4856
500000;3168.5247
1000000;6707.2637
10000;45.9293
50000;263.2871
100000;556.3178
500000;3173.8983
1000000;6775.1989
10000;47.0203
50000;261.6255
100000;566.1124
500000;3195.7309
1000000;6725.6691
10000;46.0141
50000;262.2295
100000;556.7613
500000;3154.0422
1000000;6714.0952
10000;45.9106
50000;261.0231
100000;556.8075
500000;3154.4476
1000000;6706.2804
10000;46.1778
50000;262.0633
100000;557.2528
500000;3160.5835
1000000;6584.4665
10000;44.4869
50000;254.3965
100000;540.4232
500000;3146.5089
1000000;6738.4392
